id,oppgave_master_id,kode,beskrivelse,bygningsdel
b1283670-c78e-43fa-b1dd-e4bff1225f92,315.01,1.5,"Utfør funksjonstest på alle kraner, dusjer og toalleter",315
b27eb448-5892-4aa7-908d-4ec4a457a412,624.01,1.2,Kontroller for skader og hindringer,624
b2ac15b4-ff87-4c7d-a204-c63e830b9088,360.02,1.3,Lagre servicerapport som dokumentasjon,360
b37090d0-3c7a-4696-bf88-f33893d25b6e,312.01,1.3,Kontroller at alle vannlåsene ikke er tette,312
b403161e-23ac-4c97-82b7-851423414296,626.01,1.1,"Bestill årlig kontroll, ettersyn og vedlikehold av løftrekraner og taljer fra sertifisert leverandør",626
b57cf967-6de6-46ff-b3fd-f2f6f3799484,430.01,1.03,Visuell kontroll: Er tavlen sikret mot tilfeldig berøring av spenningsførende deler?,430
b6250a4f-7d09-412b-896c-7bef60d14f26,731.02,1.3,Lagre servicerapport som dokumentasjon,731
b6ccda03-2682-40ba-b17d-7e9ea1d6a6c3,360.01,1.06,Kontroller lekkasjer under aggregat,360
b7b4586c-3338-4609-932f-0eebbbe51bff,350.01,1.2,Lukke evt. avvik iht. servicerapport,350
b96a5594-e4a2-46fd-91dc-8e3154826d02,442.01,1.1,Utfør visuell kontroll av ikke-LED lysarmaturer i fellesarealer,442
b9d05e05-7e5e-4a2e-bea3-82e38e6fa44d,278.01,1.1,Utfør visuell kontroll av alle rekkverk og stiger,278
baa8b2c6-ae86-4ce7-8815-25a18e28ca67,725.01,1.3,Kontroller at gjerder og porter sitter godt fast,725
bbcf0213-490f-4530-865b-6e2c7b1fd04b,200.04,1.06,Kontroller alle vinduer for sprekker og knust glass. Er tetningslister hele?,234
bc702d90-af34-4ae4-a490-81b25147831c,626.02,1.2,Kontroller at festeanordninger ikke er skadet og håndterer dimensjonert vekt,626
